class	label	URI	parent_class	parent_label	parent_URI	alternative_term	alternative_term	alternative_term	alternative_term	owl:equivalentClass	example_of_usage	definition_citation	definition_citation	alternative_term_tag	rdfs:comment	definition	editor_note	editor_note	editor_note	definition_editor	definition_editor	definition_editor	preferred_term	curation_status	curation_status
OBI_400070	Luminex_200	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.luminexcorp.com/support/faqs.html				A Luminex_200 is a flow_cytometer_analyser manufactured by Luminex. The optical specifications are: Reporter laser: 532 nm, nominal output 10 - 15 mW, maximum 500 mW, frequency-doubled diode; mode of operation, continuous wave (CW). Classification laser: 635 nm, 9.1 __ 6%, maximum output 25 mW, diode; mode of operation, continuous wave (CW) Reporter detector: Photomultiplier tube, detection bandwidth of 565 - 585 nm Classification detector and doublet discriminator: Avalanche photo diodes with temperature compensation				John Quinn			Luminex_200	curation_complete	
OBI_400043	flow_cell	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						Biofilm Flow Cell	http://www.flocyte.com/FRTP/Resources/flow_cytometry_glossary.htm				Aparatus in the fluidic subsystem where the sheath and sample meet. Can be one of several types; jet-in-air, quartz cuvette, or a hybrid of the two. The sample flows through the center of a fluid column of sheath fluid in the flow cell.				John Quinn			flow_cell	graph_position_temporary	definition_incomplete
OBI_400105	arrayer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						BioRobotics Microgrid II TAS, Affymetrix GMS 417	MO				An arrayer is an instrument which deposits biological material onto a substrate in a defined pattern.	FG: definition normalised from raw import			Trish Whetzel			arrayer	raw import	
OBI_400074	mixed_argon-krypton_gas_laser	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400060		http://obi.sourceforge.net/ontology/OBI.owl						argon-krypton laser in a cytometer	http://www.eio.com/repairfaq/sam/laserarg.htm				A mixed argon krypton gas laser is an ion laser in which the lasing medium is a mixture of argon and krypton. A mixed argon-krypton laser can by used to irradiate cells in a flow cytometer.				John Quinn			mixed_argon-krypton_gas_laser	graph_position_temporary	
OBI_400025	CyFlow_SL3	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.partec.de/products/cyflowsl3.html				A CyFlow_Sl3 is a flow_cytometer_analyser manufactured by Partec. Its specs are: ultracompact and fully equipped mobile/portable instrument, dimensions [cm]: L 43 x H 16 x D 37 , highest stability/robustness and highest precision, 5 optical parameters: FSC, SSC, FL-1, FL-2, FL-3, 20mW@488nm blue solid state laser, other laser light sources optional (UV, violet, green, red), WindowsTM XP FloMax (software for realtime data acquisition, data display, and data evaluation), parallel 16 bit digital pulse processing. The CyFlow SL3 is a compact and dedicated portable Flow Cytometer for accurate and affordable cell analysis and true volumetric absolute counting in HIV Monitoring and AIDS patient follow-up by precise and direct CD4 and CD4% measurement.				John Quinn			CyFlow_SL3	curation_complete	
OBI_400077	neodymium-YAG_laser	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400096		http://obi.sourceforge.net/ontology/OBI.owl						Neodymium-YAG Laser in DURIP99 System	John Quinn				A Neodymium-YAG (yttrium aluminum garnet) laser is a solid state laser in which the lasing medium is a solid rod of crystaline material pumped by a flashlamp or a diode laser. Typical output wavelengths are 355, 532, and 1064 nm. A neodymium-YAG laser can by used to irradiate cells in a flow cytometer.				Daniel Schober			neodymium-YAG_laser	graph_position_temporary	
OBI_41	pump_valve_switch	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						example_of_usage to be added	OBI				A pump valve switch is a cardinal part of a liquid chromatography instrument that controls the flow.	FG:I would assume this should be a pump valve control switch and it would not be specific to a liquid chromatography instrument			OBI Instrument branch			pump_valve_switch	definition_incomplete	
OBI_400007	analog-to-digital_converter	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl	A-D	A2D				The analog to digital converter transformed the analog output from the photomultiplier tube to a digital signal for collection.	http://en.wiktionary.org/wiki/Analog-to-Digital_Converter				An analog-to-digital_converter is an instrument that converts an infinite resolution analog signal to a finite resolution digital signal.	original definition says "part of the electronic subsystem"			John Quinn	Melanie Courtot		analog-to-digital_converter	graph_position_temporary	curation_complete
OBI_400118	vortexer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl	vortex_mixer					VWR  Genie 2	http://en.wikipedia.org/wiki/Vortex_mixer				A vortexer is an instrument that mixes small vials of liquid by creating a rotation of the liquid around its own center. It consists of an electric motor with the drive shaft oriented vertically and attached to a cupped rubber piece mounted slightly off-center. As the motor runs the rubber piece oscillates rapidly in a circular motion. When a test tube or other appropriate container is pressed into the rubber cup (or touched to its edge) the motion is transmitted to the liquid inside and a vortex is created.				Melanie Courtot	Trish Whetzel		vortexer	curation_complete	
OBI_400135	image_cytometer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400137		http://obi.sourceforge.net/ontology/OBI.owl						The most common current application of image cytometry is for DNA analysis, followed by quantitation of immunohistochemical staining.	http://web.mit.edu/solab/Research/ImageCytometry.html				An image_cytometer is an instrument for image-based study or measurement of cells.				Melanie Courtot			image_cytometer	curation_complete	
OBI_400098	SomaScope	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl						SomaScope Mark II Automatic Economical	"http://www.aicompanies.com/DeltaCD/soma_auto_adv.htm, 2007-05-10"				The SomaScope is an instrument to quantify somatic cells in milk.	editor_note pending			Josef Spidlen			SomaScope	graph_position_temporary	
OBI_400073	metal_vapor_laser	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400047		http://obi.sourceforge.net/ontology/OBI.owl						Gold vapor laser, Helium-cadmium metal-vapor laser	Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253				A metal vapor laser is a gas laser in which the lasing medium is metal vapor. A metal vapor laser can by used to irradiate cells in a flow cytometer.				John Quinn			metal_vapor_laser	graph_position_temporary	
OBI_10000008	supernatant_collection_system_harvesting_frame	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						example_of_usage to be added	google				The Supernatant Collection system is designed for collecting 90% of the supernatant in a microplate well and separating the living cell with no stress, eliminating centrifugation and other similar techniques. It can be used in a variety of release assays with different radioactive isotopes, such as Cr51 or I125.	editor_note pending			Daniel Schober			supernatant_collection_system_harvesting_frame		
OBI_400099	flow_cytometer_sorter	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl						BioSorter2000, LSR2	http://www.flocyte.com/FRTP/Resources/flow_cytometry_glossary.htm				A flow_cytometer_sorter is a flow_cytometer that analyzes and separates or sorts particles passing through (based on properties measured during anlysis) to collect cells of interest.				John Quinn	Melanie Courtot		flow_cytometer_sorter	curation_complete	
OBI_400051	Guava_Personal_Cell_Analysis-96	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl	Guava_PCA-96						http://www.guavatechnologies.com/main/products/PCA-96new.cfm				The Guava_Personal_Cell_Analysis-96  Systems is a flow_cytometer_analyser that includes a single 532 nm laser, and filters and PMTs to collect up to 2 flourescent parameters. It includes a photodiode forward scatter collector.Guava cytometers use aspiration instead of fluid systems to transport cells within the machine. The PCA96 uses either tubes or 96 well plates to introduce specimen. The Guava PCA -96 cytometer is a small portable cytometer particularly useful for field measurement.				John Quinn			Guava_Personal_Cell_Analysis-96	curation_complete	
OBI_10000001	microtiter_plate	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl	microplate					A microtiter plate with 6, 24, 96, 384 or 1536 sample wells used in the enzyme-linked immunosorbent assay (ELISA)	http://en.wikipedia.org/wiki/Microtiter_plate				A microtiter_plate is a flat plate with multiple wells used as small test tubes.				Melanie Courtot			microtiter_plate	curation_complete	
OBI_400079	optical_filter	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400080		http://obi.sourceforge.net/ontology/OBI.owl						720 LP filter, 580/30 BP filter	http://en.wikipedia.org/wiki/Optical_filter				An optical filter is an optical subsystem that selectively transmits light having certain properties (often, a particular range of wavelengths, that is, range of colours of light), while blocking the remainder. They are commonly used in photography, in many optical instruments, and to colour stage lighting Optical filters can be arranged to segregate and collect light by wave length.				John Quinn			optical_filter	graph_position_temporary	
OBI_400018	Cell_Lab_Quanta_SC	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.beckmancoulter.com/cell-lab				A Cell Lab Quanta SC is a flow_cytometer_analyser manufactured by Becman Coulter. It features a mercury arc lamp optimized at 366, 405, and 435 nm, and a 488 nm laser diode. It has filters and PMTs to collect up to 3 flourescent parameters, and a photodiode for side scatter detection. This cytometer uses Couter-Volume for cell size measurements. The Cell Lab Quanta SC can be used for measuring the properties of inividal cells.				John Quinn			Cell_Lab_Quanta_SC	curation_complete	
OBI_400033	diode_laser	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400064		http://obi.sourceforge.net/ontology/OBI.owl						FAX-RS3-H0 diode laser manufactured by Diode Laser Concepts, Inc.	John Quinn				A diode laser is a laser in which the active medium is a p-n junction semiconductor laser diode, similar to that found in a light-emitting diode. Laser diodes emit at wavelengths from 375 nm to 1800 nm, and wavelengths of over 3 micrometer have been demonstrated. A diode laser can by used to irradiate cells in a flow cytometer.				Daniel Schober			diode_laser	graph_position_temporary	
OBI_400047	gas_laser	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400064		http://obi.sourceforge.net/ontology/OBI.owl						helium-neon gas laser used to erradiate cells in a flow cytometer.	John Quinn			http://en.wikipedia.org/wiki/Gas_laser	A gas laser is a laser in which the lasing medium is a gas. The laser medium is places between two parallel mirrors for light emmission amplification. The gas is excited to emit light via an external light source or an electric current dischargeing through the gas.				Daniel Schober			gas_laser	graph_position_temporary	
OBI_400022	Cyan	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.dakousa.com/prod_productrelatedinformation?url=gprod_cyan_index.htm				A Cyan is a flow_cytometer_analyser manufactured by Dako Cytomation. It features include digital electronics, three lasers: 488 nm, 635 nm, and 405 nm, and filters and collectors for nine flourescent parameters and two scatter parameters. The Cyan can be used for measuring the properties of inividal cells.				John Quinn			Cyan	curation_complete	
OBI_400008	flow_cytometer_analyzer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400044		http://obi.sourceforge.net/ontology/OBI.owl						FACS Calibur, Luminex 100	http://www.flocyte.com/FRTP/Resources/flow_cytometry_glossary.htm			DS: The definitions for leaf node instruments do not currently follow OBO Foundry. They are preliminary solutions and definitions will not get placed on the Modell level.	An analyser is a flow_cytometer that is used to measure properties of particles (whole cells, nuclei, chromosomes, diatoms, plankton, bacteria, viruses) by moving these particles through a detection chamber. An analyser is used to collect data for anaylsis.	The definitions for leaf node instruments do not currently follow OBO Foundry. They are preliminary solutions and definitions will not get placed on the Modell level.			John Quinn			flow_cytometer_analyzer	curation_complete	
